TrialID,"Last Refreshed on","Public title","Scientific title",Acronym,"Primary sponsor","Date registration","Date registration3","Export date","Source Register","web address","Recruitment Status","other records","Inclusion agemin","Inclusion agemax","Inclusion gender","Date enrollement","Target size","Study type","Study design",Phase,Countries,"Contact Firstname","Contact Lastname","Contact Address","Contact Email","Contact Tel","Contact Affiliation","Inclusion Criteria","Exclusion Criteria",Condition,Intervention,"Primary outcome","Secondary outcome","results date posted","results date completed","results url link","Retrospective flag","Bridging flag truefalse","Bridged type","results yes no"
NCT05678725,"23 January 2023","Transcranial Direct/ Alternating Current Stimulation for Parkinson's Disease Treatment","Comparison of Transcranial Direct Current Stimulation and Transcranial Alternating Current Stimulation Treatments in Improving the Motor and Cognitive Performance in Parkinson's Disease",,"Anhui Medical University",14/12/2022,"  20221214","03/03/2024 20:31:17",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT05678725,"Not recruiting",No,"40 Years","80 Years",All,15/10/2022,80,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Triple (Participant, Investigator, Outcomes Assessor). ",N/A,China," ","Junjie Bu, Professor",,,,"Anhui Medical University","
<br>        Inclusion Criteria:
<br>
<br>          -  diagnosis of idiopathic PD according to the movement disorder society criteria
<br>
<br>          -  right-handed
<br>
<br>          -  no clinically known hearing or vision impairment
<br>
<br>          -  no history of epilepsy, dementia, other brain disorders apart from PD, severe internal
<br>             organs disease, age-related frailty, etc.
<br>
<br>        Exclusion Criteria:
<br>
<br>          -  parkinsonism due to drugs, Cerebrovascular disease, encephalitis, poisoning, traumatic
<br>             brain injury, etc.
<br>
<br>          -  Metal implants in the head (i.e., deep brain stimulator or aneurysm clips)
<br>
<br>          -  severe somatic or psychiatric disorders that require medication or routinely
<br>             monitoring
<br>
<br>          -  participated in other interventional studies within the past 3 months
