TrialID,Last Refreshed on,Public title,Scientific title,Acronym,Primary sponsor,Date registration,Date registration3,Export date,Source Register,web address,Recruitment Status,other records,Inclusion agemin,Inclusion agemax,Inclusion gender,Date enrollement,Target size,Study type,Study design,Phase,Countries,Contact Firstname,Contact Lastname,Contact Address,Contact Email,Contact Tel,Contact Affiliation,Inclusion Criteria,Exclusion Criteria,Condition,Intervention,Primary outcome,Secondary outcome,results date posted,results date completed,results url link,Retrospective flag,Bridging flag truefalse,Bridged type,results yes no
NCT06237868,12-Feb-24,rTMS Over the Dorsolateral Prefrontal Cortex for the Treatment of Impulse Control Disorders in Parkinson's Disease,The Effects of High-Frequency Repetitive Transcranial Magnetic Stimulation on Impulse Control Disorders in Parkinson's Disease Patients on Dopamine Replacement Therapy.,,West Virginia University,22/01/2024,20240122,03/03/2024 21:37:18,ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT06237868,Not recruiting,No,18 Years,N/A,All,01/02/2024,20,Interventional,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Single (Participant). ,N/A,United States, ; ; ,"Mariya V Cherkasova, PhD;Mariya V Cherkasova, PhD;Mariya V Cherkasova, PhD",,;mariya.cherkasova@mail.wvu.edu;mariya.cherkasova@mail.wvu.edu,;2403673068;240-367-3068,West Virginia University;,"
<br>        Inclusion Criteria:
<br>
<br>          -  Clinician-confirmed diagnosis of PD
<br>
<br>          -  Ability to provide informed consent, written and verbal
<br>
<br>          -  Clinician-diagnosed impulse control disorder or impulse control behaviors including
<br>             punding/hobbyism and dopamine dysregulation syndrome
<br>
<br>          -  A Beck Depression Inventory (BDI) (Beck et al., 1961) score of 14 or lower
<br>
<br>          -  A Montreal Cognitive Assessment (MoCA) (Nasreddine et al., 2005) score of 20 or higher
<br>
<br>          -  On dopamine-replacement therapy
<br>
<br>        Exclusion Criteria:
<br>
<br>          -  History of seizures or epilepsy
<br>
<br>          -  History of brain lesions (such as multiple sclerosis, tumor) reported
<br>
<br>          -  History of vascular issues in the brain, such as stroke
<br>
<br>          -  History of a moderate to severe traumatic brain injury
<br>
<br>          -  Meeting the criteria for a major psychiatric illness such as schizophrenia or
<br>             depression (BDI score of 14 or higher).
<br>
<br>          -  Having significant cognitive impairment (assessed by MoCA, cutoff score of 20)
<br>             (Nasreddine, et al., 2005)
<br>
<br>          -  Having had TMS done in the recent past (within a year)
<br>
<br>          -  Pregnancy assessed in female patients
<br>
<br>          -  Intracranial metallic objects (except for dental fillings)
<br>
<br>          -  Current use of substances or medications known to significantly reduce seizure
<br>             threshold.
<br>      ",,Impulse Control Disorder;Parkinson Disease,Device: rTMS Active;Device: rTMS Sham,Change in Delay-Discounting;Change in Reinforcement Learning,Change in impulse control disorder symptoms,,,,Yes,FALSE,          ,
NCT06218316,05-Feb-24,Repetitive Transcranial Magnetic Stimulation Versus Botulinum Injection on Spasticity on Children With Diplegic Cerebral Palsy,Combined Effect of Repetitive Transcranial Magnetic Stimulation and Botulinum Injection on Spasticity and Motor Functions of Children With Diplegic Cerebral Palsy,,MTI University,28/12/2023,20231228,03/03/2024 21:37:18,ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT06218316,Recruiting,No,4 Years,4 Years,All,15/10/2023,75,Interventional,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label). ,N/A,Egypt,,,,,,,"
<br>        Inclusion Criteria:
<br>
<br>          -  were diagnosed based on history taking including perinatal, developmental, and family
<br>             history, general and neurological examination.
<br>
<br>        The included children with clinical diagnosis of moderate spastic dialogic cerebral palsy
<br>        with a MAS (1, 1+, 2) and GMFCS (II, III, IV) were participated in this study
<br>
<br>        Exclusion Criteria:
<br>
<br>        Children who's contraindicated to rTMS treatment have metal implants such as internal
<br>        pacemakers and intracranial scaffolds, and/or a history of epilepsy.
<br>
<br>          -  Children who's Contraindicated for BTX-A treatment: hypersensitivity and local
<br>             infection at the injection site.
<br>
<br>          -  Children which have received a local injection of BTX-A within 3 months.
<br>
<br>          -  Children with dyskinetic CP,
<br>
<br>          -  Mental retardation,
<br>
<br>          -  previous, seizure or contracture were excluded.
<br>      ",,Spastic Diplegic Cerebral Palsy,Drug: botulinum toxin A;Device: Transcranial Magnetic Stimulation;Other: Rehabilitation Training Protocol,modified aswthor scale,Gross Motor Function Classification System,,,,No,FALSE,          ,
NCT06145932,27-Nov-23,Repetitive Transcranial Magnetic Stimulation Therapy in Essential Tremor,the Effects of Repetitive Transcranial Magnetic Stimulation and Mechanisms in Clinical Function of Essential Tremor,rTMS,Second Affiliated Hospital of Soochow University,12/11/2023,20231112,03/03/2024 21:37:18,ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT06145932,Recruiting,No,18 Years,80 Years,All,07/11/2023,40,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Double (Participant, Outcomes Assessor). ",N/A,China, ; ; ,"Chun-Feng Liu;Chun-Feng Liu, MD;yu xiao chen, PHD",,;liuchunfeng@suda.edu.cn;,;+8613606210609;,Second Affiliated Hospital of Soochow University;,"
<br>        Inclusion Criteria:
<br>
<br>          1. Diagnosed as essential tremor conforming to the diagnostic criteria for essential
<br>             tremor in the tremor group of the International Parkinson's and Movement Disorders
<br>             Society (IPMDS).
<br>
<br>          2. Signed informed consent form.
<br>
<br>        Exclusion Criteria:
<br>
<br>          1. Complicated with brain organic diseases, epilepsy, other mental diseases, family
<br>             history of dementia, metal devices implanted in the body and any contraindications to
<br>             TMS;
<br>
<br>          2. History of craniocerebral surgery;
<br>
