TrialID,"Last Refreshed on","Public title","Scientific title",Acronym,"Primary sponsor","Date registration","Date registration3","Export date","Source Register","web address","Recruitment Status","other records","Inclusion agemin","Inclusion agemax","Inclusion gender","Date enrollement","Target size","Study type","Study design",Phase,Countries,"Contact Firstname","Contact Lastname","Contact Address","Contact Email","Contact Tel","Contact Affiliation","Inclusion Criteria","Exclusion Criteria",Condition,Intervention,"Primary outcome","Secondary outcome","results date posted","results date completed","results url link","Retrospective flag","Bridging flag truefalse","Bridged type","results yes no"
NCT06232629,"12 February 2024","Towards Noninvasive DBS of the Basal Ganglia in Parkinson's Disease Using TUS","Towards Noninvasive Deep Brain Stimulation of the Basal Ganglia in Parkinson's Disease Using Low-intensity Transcranial Ultrasound Stimulation",,"University Health Network, Toronto",26/12/2023,"  20231226","03/03/2024 20:40:04",ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT06232629,"Not recruiting",No,"18 Years",N/A,All,01/08/2023,10,Interventional,"Allocation: Randomized. Intervention model: Crossover Assignment. Primary purpose: Basic Science. Masking: Double (Participant, Outcomes Assessor). ",N/A,Canada," ","Robert Chen, MBBS",,,,"University Health Network, Toronto","
<br>        Inclusion Criteria:
<br>
<br>          1. Adult patients with movement disorders (diagnosed by a movement disorder specialist)
<br>
<br>          2. Implantation of a Percept PC DBS system at least one month before the sonications
<br>
<br>          3. Stable dopaminergic medication dose for a minimum of 4 weeks
<br>
<br>        Exclusion Criteria:
<br>
<br>          1. Concomitant neurological conditions (stroke, seizure, dementia, major depression /
<br>             psychiatric disorders, active drug abuse/addiction and major
<br>             neuromuscular/musculoskeletal diseases)
<br>
<br>          2. Declined cognitive scores (MoCA score < 22)
<br>
<br>          3. Implants (cardiac pacemaker, implantable cardioverter-defibrillator, intracranial
<br>             devices other than DBS system such as shunts and MR- unsafe devices)
<br>
<br>          4. History of intracranial lesioning procedures
<br>
<br>          5. Major systemic illness, infection or pregnancy
